"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Canadiens","MTL","15-16",82,4973.8,38,38,6,33,82,50,221,236,-15,8.6,90.3
"Flyers","PHI","18-19",82,4963.8,37,37,8,34,82,50,244,281,-37,9.3,89.5
"Canadiens","MTL","19-20",71,4309.9,31,31,9,27,71,50,212,221,-9,8.6,90
"Wild","MIN","11-12",82,5030.6,35,36,11,24,81,49.4,177,226,-49,7.6,91.6
"Sabres","BUF","15-16",82,4991.1,35,36,11,33,81,49.4,201,222,-21,8.2,91.4
"Panthers","FLA","16-17",82,5007.4,35,36,11,30,81,49.4,210,237,-27,7.8,91.1
"Canucks","VAN","18-19",82,5010,35,36,11,29,81,49.4,225,254,-29,9,90.5
"Blue Jackets","CBJ","21-22",82,4971.9,37,38,7,33,81,49.4,262,300,-38,10.5,89.7
"Blues","STL","22-23",82,4969.5,37,38,7,34,81,49.4,263,301,-38,11.1,88.8
"Devils","N.J","23-24",82,4949.3,38,39,5,38,81,49.4,264,283,-19,10.5,88.6
"Flames","CGY","23-24",82,4962.2,38,39,5,38,81,49.4,253,271,-18,9.8,89.1
"Kraken","SEA","23-24",82,4994,34,35,13,31,81,49.4,217,236,-19,9.1,90.3
"Sabres","BUF","19-20",69,4184.5,30,31,8,28,68,49.3,195,217,-22,9.5,90
"Devils","N.J","19-20",69,4204.7,28,29,12,24,68,49.3,189,230,-41,8.7,90.1
"Flames","CGY","20-21",56,3376.8,26,27,3,25,55,49.1,156,161,-5,9.2,89.9
"Blackhawks","CHI","20-21",56,3415.3,24,25,7,22,55,49.1,161,186,-25,9.7,90.3
"Ducks","ANA","11-12",82,4986.9,34,36,12,31,80,48.8,204,231,-27,8.8,90.5
"Maple Leafs","TOR","11-12",82,4986.7,35,37,10,31,80,48.8,231,264,-33,9.8,89.8
"Islanders","NYI","17-18",82,4983.5,35,37,10,32,80,48.8,264,296,-32,10.1,90
"Ducks","ANA","18-19",82,4972,35,37,10,32,80,48.8,199,251,-52,8.6,90.9
"Red Wings","DET","22-23",82,4983.2,35,37,10,32,80,48.8,240,279,-39,10.3,89
"Capitals","WSH","22-23",82,4977.3,35,37,10,33,80,48.8,255,265,-10,9.9,89.8
"Islanders","NYI","11-12",82,4999.6,34,37,11,27,79,48.2,203,255,-52,8.1,89.8
"Islanders","NYI","13-14",82,5016,34,37,11,25,79,48.2,225,267,-42,8.5,89.4
"Stars","DAL","16-17",82,4960.1,34,37,11,33,79,48.2,223,262,-39,8.9,89.4
"Red Wings","DET","16-17",82,5018.6,33,36,13,24,79,48.2,207,244,-37,8.5,90.3
"Oilers","EDM","18-19",82,4967.6,35,38,9,32,79,48.2,232,274,-42,9.6,89.6
"Coyotes","ARI","20-21",56,3399.3,24,26,6,21,54,48.2,153,176,-23,9.8,89.8
"Canadiens","MTL","11-12",82,5017.9,31,35,16,26,78,47.6,212,226,-14,8.8,91.2
"Devils","N.J","14-15",82,4998.1,32,36,14,27,78,47.6,181,216,-35,8.8,91.7
"Coyotes","ARI","15-16",82,4956.2,35,39,8,34,78,47.6,209,245,-36,9.2,90.4
"Jets","WPG","15-16",82,4971.4,35,39,8,32,78,47.6,215,239,-24,8.7,90.3
"Sabres","BUF","16-17",82,4984.9,33,37,12,31,78,47.6,201,237,-36,8,91.8
"Oilers","EDM","17-18",82,4976.5,36,40,6,31,78,47.6,234,263,-29,8.4,90.1
"Rangers","NYR","18-19",82,5002.7,32,36,14,26,78,47.6,227,272,-45,9.2,90.4
"Senators","OTT","23-24",82,4975,37,41,4,32,78,47.6,255,281,-26,9.6,88.5
"Ducks","ANA","19-20",71,4321,29,33,9,24,67,47.2,187,226,-39,8.6,90.2
"Flames","CGY","13-14",82,4995,35,40,7,28,77,47,209,241,-32,9.2,89.9
"Flames","CGY","15-16",82,4973.2,35,40,7,33,77,47,231,260,-29,9.5,89.2
"Rangers","NYR","17-18",82,4979.5,34,39,9,31,77,47,231,268,-37,9,90.9
"Sharks","S.J","21-22",82,4975.6,32,37,13,29,77,47,214,264,-50,8.8,90
"Coyotes","ARI","23-24",82,4964,36,41,5,34,77,47,256,274,-18,11.2,89.5
"Oilers","EDM","12-13",48,2923.7,19,22,7,17,45,46.9,125,134,-9,9.6,91.7
"Canadiens","MTL","23-24",82,5013.1,30,36,16,26,76,46.3,236,289,-53,10.2,89.7
"Blue Jackets","CBJ","15-16",82,4985.3,34,40,8,28,76,46.3,219,252,-33,8.9,90.3
"Blackhawks","CHI","17-18",82,4966.3,33,39,10,32,76,46.3,229,256,-27,8.2,90.6
"Sabres","BUF","18-19",82,4994.4,33,39,10,28,76,46.3,226,271,-45,8.2,90.1
"Ducks","ANA","21-22",82,5002,31,37,14,27,76,46.3,232,271,-39,9.5,90.2
"Canucks","VAN","15-16",82,5004.4,31,38,13,26,75,45.7,191,243,-52,8,91
"Kings","L.A","19-20",70,4240.2,29,35,6,28,64,45.7,178,212,-34,7.6,89.9
"Sabres","BUF","21-22",82,4974.5,32,39,11,29,75,45.7,232,290,-58,9.3,89.4
"Flyers","PHI","22-23",82,4973,31,38,13,29,75,45.7,222,277,-55,9.1,89.3
"Senators","OTT","20-21",56,3392.1,23,28,5,21,51,45.5,157,190,-33,9.3,89.5
"Oilers","EDM","11-12",82,4987.3,32,40,10,27,74,45.1,212,239,-27,9.5,90.8
"Red Wings","DET","18-19",82,4997,32,40,10,29,74,45.1,227,277,-50,9.4,90.1
"Red Wings","DET","21-22",82,4982.1,32,40,10,29,74,45.1,230,312,-82,9.4,88.8
"Sharks","S.J","19-20",70,4233.4,29,36,5,27,63,45,182,226,-44,8.6,89.5
"Canucks","VAN","20-21",56,3389.2,23,29,4,20,50,44.6,151,188,-37,9.1,90
"Canucks","VAN","17-18",82,4973,31,40,11,31,73,44.5,218,264,-46,8.8,90.2
"Red Wings","DET","17-18",82,4984,30,39,13,25,73,44.5,217,255,-38,8.5,90.3
"Senators","OTT","21-22",82,4967,33,42,7,30,73,44.5,227,266,-39,9.1,90.4
"Devils","N.J","18-19",82,4984.4,31,41,10,28,72,43.9,222,275,-53,8.8,89.6
"Flames","CGY","12-13",48,2901.2,19,25,4,19,42,43.8,128,160,-32,9.9,88.9
"Hurricanes","CAR","12-13",48,2898.4,19,25,4,18,42,43.8,128,160,-32,8.2,89.7
"Kings","L.A","20-21",56,3390.6,21,28,7,20,49,43.8,143,170,-27,8.9,90.3
"Sharks","S.J","20-21",56,3409.3,21,28,7,16,49,43.8,151,199,-48,8.7,89.1
"Senators","OTT","19-20",71,4322.9,25,34,12,24,62,43.7,191,243,-52,8.7,90
"Hurricanes","CAR","14-15",82,4999,30,41,11,25,71,43.3,188,226,-38,7.3,90.2
"Canadiens","MTL","17-18",82,4979.7,29,40,13,27,71,43.3,209,264,-55,7.7,90.3
"Kings","L.A","18-19",82,4980.7,31,42,9,28,71,43.3,202,263,-61,8.4,90
"Red Wings","DET","20-21",56,3403.1,19,27,10,17,48,42.9,127,171,-44,8.2,90.6
"Blue Jackets","CBJ","20-21",56,3419.8,18,26,12,15,48,42.9,137,187,-50,8.2,89.9
"Predators","NSH","12-13",48,2929.4,16,23,9,14,41,42.7,111,139,-28,8.8,90
"Oilers","EDM","15-16",82,4981.9,31,43,8,27,70,42.7,203,245,-42,8.3,90.5
"Devils","N.J","16-17",82,4987.6,28,40,14,25,70,42.7,183,244,-61,7.9,90.6
"Coyotes","ARI","16-17",82,4985.8,30,42,10,24,70,42.7,197,260,-63,8.4,90.8
"Coyotes","ARI","17-18",82,4999.2,29,41,12,27,70,42.7,208,256,-48,8.4,90.5
"Coyotes","ARI","22-23",82,4991.8,28,40,14,25,70,42.7,228,299,-71,10.6,89.7
"Maple Leafs","TOR","15-16",82,4996.5,29,42,11,23,69,42.1,198,246,-48,7.6,90.4
"Canucks","VAN","16-17",82,4979.6,30,43,9,26,69,42.1,182,243,-61,7.8,90.8
"Lightning","T.B","12-13",48,2904.3,18,26,4,17,40,41.7,148,150,-2,11.1,89.9
"Maple Leafs","TOR","14-15",82,4990,30,44,8,25,68,41.5,211,262,-51,8.6,90.6
"Blackhawks","CHI","21-22",82,4996.3,28,42,12,22,68,41.5,219,291,-72,9,89.3
"Canadiens","MTL","22-23",82,4973.6,31,45,6,26,68,41.5,232,307,-75,10.1,88.9
"Oilers","EDM","13-14",82,4981.9,29,44,9,25,67,40.9,203,270,-67,9,90.1
"Senators","OTT","17-18",82,4985.1,28,43,11,26,67,40.9,221,291,-70,8.7,89.5
"Avalanche","COL","12-13",48,2930.5,16,25,7,14,39,40.6,116,152,-36,8.1,90.1
"Blue Jackets","CBJ","23-24",82,4978.6,27,43,12,24,66,40.2,237,300,-63,9.5,89.5
"Panthers","FLA","13-14",82,4996.9,29,45,8,21,66,40.2,196,268,-72,7.7,89.7
"Devils","N.J","20-21",56,3402.9,19,30,7,19,45,40.2,145,194,-49,9,89.1
"Blue Jackets","CBJ","11-12",82,4973.8,29,46,7,25,65,39.6,202,262,-60,8.1,89.9
"Senators","OTT","18-19",82,4944.6,29,47,6,29,64,39,242,302,-60,10,89.7
"Ducks","ANA","20-21",56,3400.2,17,30,9,15,43,38.4,126,179,-53,8.3,89.7
"Devils","N.J","21-22",82,4978.5,27,46,9,24,63,38.4,248,307,-59,9.6,88.1
"Oilers","EDM","14-15",82,5004.3,24,44,14,19,62,37.8,198,283,-85,8.3,88.8
"Sabres","BUF","17-18",82,4974,25,45,12,24,62,37.8,199,280,-81,7.7,89.6
"Panthers","FLA","12-13",48,2914.8,15,27,6,12,36,37.5,112,171,-59,7.8,88.6
"Flyers","PHI","21-22",82,4968.8,25,46,11,24,61,37.2,211,298,-87,8.3,89.4
"Kraken","SEA","21-22",82,4949.8,27,49,6,24,60,36.6,216,285,-69,8.9,88
"Sharks","S.J","22-23",82,4984.7,22,44,16,21,60,36.6,234,321,-87,9.6,88.1
"Blackhawks","CHI","22-23",82,4967.4,26,49,7,24,59,36,204,301,-97,9.1,89.2
"Blue Jackets","CBJ","22-23",82,4967,25,48,9,24,59,36,214,330,-116,8.9,88.7
"Ducks","ANA","23-24",82,4951.6,27,50,5,26,59,36,204,295,-91,9.2,89
"Ducks","ANA","22-23",82,4985.6,23,47,12,20,58,35.4,209,338,-129,8.9,89.6
"Coyotes","ARI","21-22",82,4969.4,25,50,7,24,57,34.8,207,313,-106,9.7,89.4
"Coyotes","ARI","14-15",82,4995.4,24,50,8,19,56,34.1,170,272,-102,6.9,90.2
"Canadiens","MTL","21-22",82,4972.2,22,49,11,19,55,33.5,221,319,-98,8.9,88.8
"Sabres","BUF","20-21",56,3404.3,15,34,7,11,37,33,138,199,-61,8.4,89.6
"Sabres","BUF","14-15",82,4990,23,51,8,15,54,32.9,161,274,-113,7.7,90.8
"Blackhawks","CHI","23-24",82,4950,23,53,6,22,52,31.7,179,290,-111,8.3,89.2
"Sabres","BUF","13-14",82,4994.5,21,51,10,14,52,31.7,157,248,-91,7,91.4
"Avalanche","COL","16-17",82,4953.8,22,56,4,21,48,29.3,166,278,-112,7.2,89.4
"Sharks","S.J","23-24",82,4970.1,19,54,9,18,47,28.7,181,331,-150,8.7,88.7
"Red Wings","DET","19-20",71,4290.5,17,49,5,14,39,27.5,145,267,-122,7.4,88.6
